,title,price,links,images
31,"HP ProBook 650 G1 Laptop Computer 15.6"" Core i7 8GB Ram 500GB Windows 10 Pro PC",197.12,https://www.ebay.com/itm/284228966613?_skw=laptop&hash=item422d5dd8d5:g:eC4AAOSw-6hnTEei,https://i.ebayimg.com/thumbs/images/g/jAAAAOSwHytlU-8q/s-l300.webp
32,Lenovo ThinkPad T480s Core i5 8350U 1.7GHz 16GB RAM 512GB SSD Win 11 Pro,239.0,https://www.ebay.com/itm/186789793954?_skw=laptop&hash=item2b7d8a10a2:g:aDoAAOSwUvdnOmpJ,https://i.ebayimg.com/thumbs/images/g/3QAAAOSw7Lxmxr3E/s-l300.webp
33,Lenovo ThinkPad T14 Laptop 14” FHD Core i5-1135G7 32GB RAM 1TB SSD Windows 11,465.27,https://www.ebay.com/itm/267047950820?_skw=laptop&hash=item3e2d4c59e4:g:RJQAAOSwMN5nTEO7,https://i.ebayimg.com/thumbs/images/g/YE0AAOSw58dnTdcj/s-l300.webp
34,"Lenovo IdeaPad 3 15.6"" ,Intel Core i3-1005G1,256GB SSD,12GB RAM,Win10",128.5,https://www.ebay.com/itm/226475027474?_skw=laptop&hash=item34baf6ac12:g:3pcAAOSwsepnA1T4,https://i.ebayimg.com/thumbs/images/g/qB4AAOSw9H9nIR-5/s-l300.webp
35,"Alienware m15 R3 15.6in, 512GB SSD, 16GB RAM, i7-10750H, RTX 2060 Super, W10H",460.0,https://www.ebay.com/itm/167147750680?_skw=laptop&hash=item26eac84518:g:Vt4AAOSwB~1nSisV,https://i.ebayimg.com/thumbs/images/g/3FcAAOSwTkxnUHrk/s-l300.webp
36,"HP Victus 15-fb0020nr Gaming Laptop RTX 3050 TI 4GB Ryzen 5, 8GB RAM 512GB SSD",489.24,https://www.ebay.com/itm/176703492140?_skw=laptop&hash=item292459502c:g:1X8AAOSwtuxnROiW,https://i.ebayimg.com/thumbs/images/g/Yp8AAOSwsZJnBt3G/s-l300.webp
37,"2024 Lenovo IdeaPad Laptop Notebook 15.6""  Intel Processor Upto 20GB RAM 1TB SSD",249.0,https://www.ebay.com/itm/126716305927?_skw=laptop&hash=item1d80e16207%3Ag%3A2YQAAOSwoqxnCBl4&var=427765182036,https://i.ebayimg.com/thumbs/images/g/cW8AAOSwebtnTEFu/s-l300.webp
38,"Dell 7400 14"" Light Gaming Intel Core i7 4.20GHz 64GB RAM 4TB SSD Windows 11 Pro",380.0,https://www.ebay.com/itm/335475616152?_skw=laptop&hash=item4e1be7a998%3Ag%3AvUEAAOSw8YNm4HBi&var=544914516541,https://i.ebayimg.com/images/g/0g0AAOSw5XhnTlSX/s-l500.jpg
39,Lenovo 100W Gen 3 Laptop – Open BOX – Model 82HY – WIN 11,99.0,https://www.ebay.com/itm/326349465754?_skw=laptop&hash=item4bfbf1a89a:g:i74AAOSwFJtnQiPA,https://i.ebayimg.com/thumbs/images/g/SdcAAOSwhNJnSok0/s-l300.webp
40,"Lenovo ThinkPad T490s 14"" TOUCH FHD i7-8565U 16GB NEW 512 SSD Win 11 pro laptop",299.99,https://www.ebay.com/itm/224833789923?_skw=laptop&hash=item3459235fe3:g:jAAAAOSwHytlU-8q,https://i.ebayimg.com/thumbs/images/g/M3IAAOSwRTNnTmDd/s-l300.webp
